HomeTeams,AwayTeams,Year,HomeGoals,AwayGoals
Yugoslavia,Brazil,1930,2,1
Uruguay,Yugoslavia,1930,6,1
Argentina,United States,1930,6,1
Paraguay,Belgium,1930,1,0
United States,Paraguay,1930,3,0
United States,Belgium,1930,3,0
Uruguay,Romania,1930,4,0
Uruguay,Argentina,1930,4,2
Uruguay,Peru,1930,1,0
Brazil,Bolivia,1930,4,0
Yugoslavia,Bolivia,1930,4,0
Argentina,Chile,1930,3,1
Argentina,Mexico,1930,6,3
Chile,France,1930,1,0
Chile,Mexico,1930,3,0
Romania,Peru,1930,3,1
Argentina,France,1930,1,0
France,Mexico,1930,4,1
Italy,Spain,1934,1,0
Italy,Czechoslovakia,1934,2,1
Germany,Austria,1934,3,2
Czechoslovakia,Germany,1934,3,1
Italy,Austria,1934,1,0
Czechoslovakia,Switzerland,1934,3,2
Germany,Sweden,1934,2,1
Austria,Hungary,1934,2,1
Italy,Spain,1934,1,1
Austria,France,1934,3,2
Sweden,Argentina,1934,3,2
Czechoslovakia,Romania,1934,2,1
Italy,United States,1934,7,1
Switzerland,Netherlands,1934,3,2
Hungary,Egypt,1934,4,2
Spain,Brazil,1934,3,1
Germany,Belgium,1934,5,2
Brazil,Czechoslovakia,1938,1,1
Sweden,Cuba,1938,8,0
Italy,France,1938,3,1
Brazil,Czechoslovakia,1938,2,1
Brazil,Sweden,1938,4,2
Italy,Brazil,1938,2,1
Italy,Hungary,1938,4,2
Hungary,Switzerland,1938,2,0
Hungary,Sweden,1938,5,1
Cuba,Romania,1938,2,1
Italy,Norway,1938,2,1
Czechoslovakia,Netherlands,1938,3,0
Brazil,Poland,1938,6,5
France,Belgium,1938,3,1
Cuba,Romania,1938,3,3
Hungary,Dutch East Indies,1938,6,0
Switzerland,Germany,1938,1,1
Switzerland,Germany,1938,4,2
Sweden,Paraguay,1950,2,2
Italy,Paraguay,1950,2,0
Uruguay,Bolivia,1950,8,0
Uruguay,Spain,1950,2,2
Sweden,Spain,1950,3,1
Brazil,Spain,1950,6,1
Uruguay,Sweden,1950,3,2
Uruguay,Brazil,1950,2,1
Sweden,Italy,1950,3,2
Brazil,Sweden,1950,7,1
Chile,United States,1950,5,2
England,Chile,1950,2,0
United States,England,1950,1,0
Spain,Chile,1950,2,0
Spain,United States,1950,3,1
Switzerland,Mexico,1950,2,1
Brazil,Yugoslavia,1950,2,0
Yugoslavia,Mexico,1950,4,1
Brazil,Switzerland,1950,2,2
Yugoslavia,Switzerland,1950,3,0
Brazil,Mexico,1950,4,0
Spain,England,1950,1,0
England,Belgium,1954,4,4
Italy,Belgium,1954,4,1
England,Switzerland,1954,2,0
Switzerland,Italy,1954,4,1
Austria,Switzerland,1954,7,5
Austria,Uruguay,1954,3,1
Hungary,Brazil,1954,4,2
West Germany,Austria,1954,6,1
